Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
IOWA,2019,1,6,,119,,6,,98,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190121
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
PUERTO RICO,2019,1,,-,18,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
US TERRITORIES,2019,1,,-,19,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
US RESIDENTS,2019,1,1735,,12418,,1735,,8829,,42,,156,,42,,129,,,-,3,,,-,1,,,US RESIDENTS,20190101
NEW ENGLAND,2019,1,,-,263,,,-,130,,,-,12,,,-,12,,,-,1,,,-,1,,,NEW ENGLAND,20190102
CONNECTICUT,2019,1,,U,,NC,,U,,U,,-,5,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190103
MAINE,2019,1,,-,25,,,-,16,,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
